Node A,Node B,Jaccard Coefficient,ID_A,Ideology_A,Decade_A,In_PIRUS_A,ID_B,Ideology_B,Decade_B,In_PIRUS_B,Connection Type
1120,1131,0.07142857142857142,1120,Jihadist,2000s,Yes,1131,Jihadist,2000s,Yes,Internal
1120,6128,0.18181818181818182,1120,Jihadist,2000s,Yes,6128,Jihadist,2000s,Yes,Internal
1120,6180,0.08333333333333333,1120,Jihadist,2000s,Yes,6180,Jihadist,2010s,Yes,Internal
1120,1114,0.05555555555555555,1120,Jihadist,2000s,Yes,1114,Jihadist,2000s,Yes,Internal
1120,1117,0.05555555555555555,1120,Jihadist,2000s,Yes,1117,Jihadist,2000s,Yes,Internal
1120,1129,0.08333333333333333,1120,Jihadist,2000s,Yes,1129,Jihadist,2010s,Yes,Internal
1120,2237,0.05555555555555555,1120,Jihadist,2000s,Yes,2237,Jihadist,2000s,Yes,Internal
1120,6121,0.07142857142857142,1120,Jihadist,2000s,Yes,6121,Jihadist,2000s,Yes,Internal
1120,1118,0.05,1120,Jihadist,2000s,Yes,1118,Jihadist,2000s,Yes,Internal
1120,6146,0.09090909090909091,1120,Jihadist,2000s,Yes,6146,Jihadist,2010s,Yes,Internal
1120,6159,0.07142857142857142,1120,Jihadist,2000s,Yes,6159,Jihadist,2010s,Yes,Internal
1120,2067,0.36363636363636365,1120,Jihadist,2000s,Yes,2067,Jihadist,2010s,Yes,Internal
1120,2233,0.058823529411764705,1120,Jihadist,2000s,Yes,2233,Jihadist,2000s,Yes,Internal
1120,1135,0.18181818181818182,1120,Jihadist,2000s,Yes,1135,Jihadist,2010s,Yes,Internal
7957,3168,0.047619047619047616,7957,Anti-Abortion,1990s,No,3168,Anti-Abortion,1990s,Yes,Internal
6094,2104,0.2222222222222222,6094,Jihadist,2000s,No,2104,Jihadist,2000s,Yes,Internal
6094,3715,0.2222222222222222,6094,Jihadist,2000s,No,3715,Jihadist,2000s,No,Internal
6094,1141,0.08333333333333333,6094,Jihadist,2000s,No,1141,Jihadist,2010s,Yes,Internal
4024,4671,0.3333333333333333,4024,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,4671,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,Internal
3251,3241,0.05263157894736842,3251,Anti-Abortion,1980s,Yes,3241,Anti-Abortion,1990s,Yes,Internal
3251,7952,0.16666666666666666,3251,Anti-Abortion,1980s,Yes,7952,Anti-Abortion,1980s,No,Internal
3251,7929,0.07692307692307693,3251,Anti-Abortion,1980s,Yes,7929,Anti-Abortion,1980s,No,Internal
1124,6122,0.18181818181818182,1124,Jihadist,2000s,Yes,6122,Jihadist,2010s,Yes,Internal
1124,6594,0.16666666666666666,1124,Jihadist,2000s,Yes,6594,Jihadist,2010s,Yes,Internal
1124,6336,0.07142857142857142,1124,Jihadist,2000s,Yes,6336,Jihadist,2010s,Yes,Internal
1124,1113,0.058823529411764705,1124,Jihadist,2000s,Yes,1113,Jihadist,2000s,Yes,Internal
1124,1115,0.08695652173913043,1124,Jihadist,2000s,Yes,1115,Jihadist,2010s,Yes,Internal
1124,9406,0.1,1124,Jihadist,2000s,Yes,9406,Jihadist,2010s,Yes,Internal
1124,6074,0.038461538461538464,1124,Jihadist,2000s,Yes,6074,Jihadist,2010s,Yes,Internal
1124,1112,0.1,1124,Jihadist,2000s,Yes,1112,Jihadist,2000s,Yes,Internal
1124,1116,0.10526315789473684,1124,Jihadist,2000s,Yes,1116,Jihadist,2000s,Yes,Internal
1124,6184,0.0625,1124,Jihadist,2000s,Yes,6184,Jihadist,2010s,Yes,Internal
1124,1131,0.06666666666666667,1124,Jihadist,2000s,Yes,1131,Jihadist,2000s,Yes,Internal
1124,6128,0.16666666666666666,1124,Jihadist,2000s,Yes,6128,Jihadist,2000s,Yes,Internal
1124,6180,0.07692307692307693,1124,Jihadist,2000s,Yes,6180,Jihadist,2010s,Yes,Internal
1124,1114,0.05263157894736842,1124,Jihadist,2000s,Yes,1114,Jihadist,2000s,Yes,Internal
1124,1117,0.05263157894736842,1124,Jihadist,2000s,Yes,1117,Jihadist,2000s,Yes,Internal
1124,1129,0.16666666666666666,1124,Jihadist,2000s,Yes,1129,Jihadist,2010s,Yes,Internal
1124,2237,0.05263157894736842,1124,Jihadist,2000s,Yes,2237,Jihadist,2000s,Yes,Internal
1124,6121,0.06666666666666667,1124,Jihadist,2000s,Yes,6121,Jihadist,2000s,Yes,Internal
1124,1118,0.047619047619047616,1124,Jihadist,2000s,Yes,1118,Jihadist,2000s,Yes,Internal
1124,6146,0.08333333333333333,1124,Jihadist,2000s,Yes,6146,Jihadist,2010s,Yes,Internal
1124,6159,0.06666666666666667,1124,Jihadist,2000s,Yes,6159,Jihadist,2010s,Yes,Internal
1124,2233,0.05555555555555555,1124,Jihadist,2000s,Yes,2233,Jihadist,2000s,Yes,Internal
1124,1135,0.16666666666666666,1124,Jihadist,2000s,Yes,1135,Jihadist,2010s,Yes,Internal
1057,6721,0.2,1057,Jihadist,2000s,No,6721,Jihadist,2010s,Yes,Internal
10962,1093,0.4,10962,Jihadist,2000s,No,1093,Jihadist,2000s,Yes,Internal
10962,1130,0.1,10962,Jihadist,2000s,No,1130,Jihadist,2000s,Yes,Internal
10962,3715,0.09090909090909091,10962,Jihadist,2000s,No,3715,Jihadist,2000s,No,Internal
1136,5903,1.0,1136,Jihadist,1990s,Yes,5903,Jihadist,2000s,No,Internal
1136,4696,1.0,1136,Jihadist,1990s,Yes,4696,Black Nationalist/Separatist,1960s,Yes,External
8788,8789,0.5,8788,White Supremacist/Xenophobic,2010s,No,8789,White Supremacist/Xenophobic,2010s,No,Internal
8665,5378,0.15384615384615385,8665,White Supremacist/Xenophobic,1980s,No,5378,White Supremacist/Xenophobic,1980s,Yes,Internal
8665,4075,0.18181818181818182,8665,White Supremacist/Xenophobic,1980s,No,4075,White Supremacist/Xenophobic,1980s,Yes,Internal
1299,12047,0.2,1299,White Supremacist/Xenophobic,2000s,No,12047,White Supremacist/Xenophobic,2000s,No,Internal
1299,7984,0.2,1299,White Supremacist/Xenophobic,2000s,No,7984,White Supremacist/Xenophobic,2000s,No,Internal
1299,7985,0.2,1299,White Supremacist/Xenophobic,2000s,No,7985,White Supremacist/Xenophobic,2000s,No,Internal
1299,3415,0.2,1299,White Supremacist/Xenophobic,2000s,No,3415,White Supremacist/Xenophobic,2000s,Yes,Internal
8259,6466,0.06666666666666667,8259,Environmental/Animal Rights,2010s,No,6466,Environmental/Animal Rights,2010s,Yes,Internal
8259,6467,0.09523809523809523,8259,Environmental/Animal Rights,2010s,No,6467,Environmental/Animal Rights,2000s,Yes,Internal
8259,6468,0.06666666666666667,8259,Environmental/Animal Rights,2010s,No,6468,Environmental/Animal Rights,2010s,Yes,Internal
5903,4696,1.0,5903,Jihadist,2000s,No,4696,Black Nationalist/Separatist,1960s,Yes,External
3116,3094,0.16666666666666666,3116,Environmental/Animal Rights,2000s,Yes,3094,Environmental/Animal Rights,1990s,Yes,Internal
3116,3015,0.16666666666666666,3116,Environmental/Animal Rights,2000s,Yes,3015,Environmental/Animal Rights,2000s,Yes,Internal
3116,3117,0.16666666666666666,3116,Environmental/Animal Rights,2000s,Yes,3117,Environmental/Animal Rights,1990s,Yes,Internal
2218,7175,1.0,2218,Jihadist,2000s,No,7175,Jihadist,2000s,No,Internal
2218,7174,1.0,2218,Jihadist,2000s,No,7174,Jihadist,2000s,No,Internal
7966,3168,0.047619047619047616,7966,Anti-Abortion,1990s,No,3168,Anti-Abortion,1990s,Yes,Internal
7467,9903,0.16666666666666666,7467,White Supremacist/Xenophobic,2020s,Yes,9903,White Supremacist/Xenophobic,2020s,Yes,Internal
6018,6055,0.5,6018,Jihadist,2010s,No,6055,Jihadist,2010s,Yes,Internal
5114,5117,0.8333333333333334,5114,Black Nationalist/Separatist,1980s,No,5117,Black Nationalist/Separatist,1980s,No,Internal
5114,5110,0.09090909090909091,5114,Black Nationalist/Separatist,1980s,No,5110,Black Nationalist/Separatist,1980s,Yes,Internal
5114,5105,0.1,5114,Black Nationalist/Separatist,1980s,No,5105,Black Nationalist/Separatist,1980s,Yes,Internal
5114,5516,0.07692307692307693,5114,Black Nationalist/Separatist,1980s,No,5516,Anarchist/Anti-Capitalist,1980s,No,External
5114,7618,1.0,5114,Black Nationalist/Separatist,1980s,No,7618,Black Nationalist/Separatist,1980s,No,Internal
5114,5663,0.16666666666666666,5114,Black Nationalist/Separatist,1980s,No,5663,Black Nationalist/Separatist,1970s,Yes,Internal
5114,4706,0.1111111111111111,5114,Black Nationalist/Separatist,1980s,No,4706,Black Nationalist/Separatist,1980s,Yes,Internal
5114,5106,0.1,5114,Black Nationalist/Separatist,1980s,No,5106,Black Nationalist/Separatist,1980s,Yes,Internal
2246,5854,0.08333333333333333,2246,Jihadist,2000s,No,5854,Jihadist,2000s,Yes,Internal
2246,2003,0.125,2246,Jihadist,2000s,No,2003,Jihadist,2010s,Yes,Internal
2246,2050,0.3333333333333333,2246,Jihadist,2000s,No,2050,Jihadist,2000s,Yes,Internal
2246,1138,0.2,2246,Jihadist,2000s,No,1138,Jihadist,2000s,No,Internal
2246,5865,0.4,2246,Jihadist,2000s,No,5865,Jihadist,2000s,Yes,Internal
2246,1106,0.09090909090909091,2246,Jihadist,2000s,No,1106,Jihadist,2000s,Yes,Internal
2246,4667,0.2,2246,Jihadist,2000s,No,4667,Jihadist,2000s,No,Internal
2246,2002,0.125,2246,Jihadist,2000s,No,2002,Jihadist,2010s,Yes,Internal
1203,2100,0.25,1203,Jihadist,2010s,Yes,2100,Jihadist,2010s,Yes,Internal
1203,6423,0.5,1203,Jihadist,2010s,Yes,6423,Jihadist,2010s,Yes,Internal
1203,1144,0.14285714285714285,1203,Jihadist,2010s,Yes,1144,Jihadist,2000s,Yes,Internal
1203,1164,0.2,1203,Jihadist,2010s,Yes,1164,Jihadist,2000s,Yes,Internal
1203,6101,1.0,1203,Jihadist,2010s,Yes,6101,Jihadist,2010s,Yes,Internal
1203,1183,0.2,1203,Jihadist,2010s,Yes,1183,Jihadist,2000s,Yes,Internal
1203,1137,0.16666666666666666,1203,Jihadist,2010s,Yes,1137,Jihadist,2000s,Yes,Internal
1203,2104,0.1111111111111111,1203,Jihadist,2010s,Yes,2104,Jihadist,2000s,Yes,Internal
1203,3715,0.1111111111111111,1203,Jihadist,2010s,Yes,3715,Jihadist,2000s,No,Internal
1203,9807,1.0,1203,Jihadist,2010s,Yes,9807,Jihadist,2010s,No,Internal
4671,3413,0.3333333333333333,4671,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,3413,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,Internal
8235,8237,0.3333333333333333,8235,White Supremacist/Xenophobic,2010s,No,8237,White Supremacist/Xenophobic,2010s,No,Internal
8235,8238,1.0,8235,White Supremacist/Xenophobic,2010s,No,8238,White Supremacist/Xenophobic,2010s,No,Internal
8235,8236,0.5,8235,White Supremacist/Xenophobic,2010s,No,8236,White Supremacist/Xenophobic,2010s,No,Internal
8235,10956,0.5,8235,White Supremacist/Xenophobic,2010s,No,10956,White Supremacist/Xenophobic,2010s,No,Internal
8235,8239,0.5,8235,White Supremacist/Xenophobic,2010s,No,8239,White Supremacist/Xenophobic,2010s,No,Internal
2011,4694,0.5,2011,Jihadist,2000s,Yes,4694,Jihadist,2000s,No,Internal
2011,4693,0.5,2011,Jihadist,2000s,Yes,4693,Jihadist,2000s,No,Internal
2011,2042,0.25,2011,Jihadist,2000s,Yes,2042,Jihadist,2000s,Yes,Internal
5704,5757,1.0,5704,Other,1970s,No,5757,Other,1970s,No,Internal
7928,7949,0.3333333333333333,7928,Anti-Abortion,1980s,No,7949,Anti-Abortion,1990s,No,Internal
7928,7950,0.5,7928,Anti-Abortion,1980s,No,7950,Anti-Abortion,1980s,No,Internal
7928,3259,0.3333333333333333,7928,Anti-Abortion,1980s,No,3259,Anti-Abortion,1980s,Yes,Internal
7928,7929,0.1111111111111111,7928,Anti-Abortion,1980s,No,7929,Anti-Abortion,1980s,No,Internal
7928,7927,0.5,7928,Anti-Abortion,1980s,No,7927,Anti-Abortion,1980s,No,Internal
5117,5516,0.08333333333333333,5117,Black Nationalist/Separatist,1980s,No,5516,Anarchist/Anti-Capitalist,1980s,No,External
5117,7618,0.8333333333333334,5117,Black Nationalist/Separatist,1980s,No,7618,Black Nationalist/Separatist,1980s,No,Internal
12742,6739,0.14285714285714285,12742,Other,2020s,No,6739,Environmental/Animal Rights,2010s,No,External
12742,4545,0.2,12742,Other,2020s,No,4545,Anarchist/Anti-Capitalist,1960s,Yes,External
12742,7359,0.2,12742,Other,2020s,No,7359,Anarchist/Anti-Capitalist,1960s,No,External
12742,6738,0.14285714285714285,12742,Other,2020s,No,6738,Environmental/Animal Rights,2010s,Yes,External
12742,4561,0.2,12742,Other,2020s,No,4561,Anarchist/Anti-Capitalist,1960s,No,External
12742,12737,0.2222222222222222,12742,Other,2020s,No,12737,Other,2020s,No,Internal
12742,12739,0.2222222222222222,12742,Other,2020s,No,12739,Other,2020s,No,Internal
12742,12738,0.2222222222222222,12742,Other,2020s,No,12738,Other,2020s,No,Internal
12742,12736,0.2222222222222222,12742,Other,2020s,No,12736,Other,2020s,No,Internal
12742,6737,0.14285714285714285,12742,Other,2020s,No,6737,Environmental/Animal Rights,2010s,Yes,External
12742,12740,0.2222222222222222,12742,Other,2020s,No,12740,Other,2020s,No,Internal
12742,7361,0.2,12742,Other,2020s,No,7361,Anarchist/Anti-Capitalist,1960s,No,External
12742,7362,0.2,12742,Other,2020s,No,7362,Anarchist/Anti-Capitalist,1960s,No,External
2338,5686,0.3333333333333333,2338,Other,1970s,No,5686,Other,1970s,Yes,Internal
2338,2276,1.0,2338,Other,1970s,No,2276,Other,1970s,No,Internal
2338,5688,0.5,2338,Other,1970s,No,5688,Other,1960s,Yes,Internal
2338,5684,0.5,2338,Other,1970s,No,5684,Other,1960s,Yes,Internal
2338,2046,1.0,2338,Other,1970s,No,2046,Other,1970s,No,Internal
5278,7827,0.25,5278,White Supremacist/Xenophobic,2010s,Yes,7827,White Supremacist/Xenophobic,2010s,No,Internal
5278,8799,0.14285714285714285,5278,White Supremacist/Xenophobic,2010s,Yes,8799,White Supremacist/Xenophobic,2010s,No,Internal
5278,6476,0.25,5278,White Supremacist/Xenophobic,2010s,Yes,6476,White Supremacist/Xenophobic,2010s,Yes,Internal
8131,8129,1.0,8131,White Supremacist/Xenophobic,1990s,No,8129,White Supremacist/Xenophobic,1980s,No,Internal
8131,4033,0.5,8131,White Supremacist/Xenophobic,1990s,No,4033,White Supremacist/Xenophobic,1990s,Yes,Internal
1958,5648,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,5648,Black Nationalist/Separatist,1970s,Yes,Internal
1958,5647,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,5647,Black Nationalist/Separatist,1970s,Yes,Internal
1958,5669,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,5669,Black Nationalist/Separatist,1970s,No,Internal
1958,12082,0.07142857142857142,1958,Black Nationalist/Separatist,1970s,No,12082,Black Nationalist/Separatist,1970s,No,Internal
1958,12081,0.07142857142857142,1958,Black Nationalist/Separatist,1970s,No,12081,Black Nationalist/Separatist,1970s,No,Internal
1958,5644,0.14285714285714285,1958,Black Nationalist/Separatist,1970s,No,5644,Black Nationalist/Separatist,1970s,No,Internal
1958,1965,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,1965,Black Nationalist/Separatist,1970s,No,Internal
1958,12080,0.07142857142857142,1958,Black Nationalist/Separatist,1970s,No,12080,Black Nationalist/Separatist,1970s,No,Internal
1958,5642,0.2,1958,Black Nationalist/Separatist,1970s,No,5642,Black Nationalist/Separatist,1970s,Yes,Internal
1958,12084,0.07692307692307693,1958,Black Nationalist/Separatist,1970s,No,12084,Black Nationalist/Separatist,1970s,No,Internal
1958,2305,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,2305,Black Nationalist/Separatist,1970s,No,Internal
1958,5667,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,5667,Black Nationalist/Separatist,1970s,Yes,Internal
1958,1967,0.21428571428571427,1958,Black Nationalist/Separatist,1970s,No,1967,Black Nationalist/Separatist,1970s,No,Internal
6739,12743,0.14285714285714285,6739,Environmental/Animal Rights,2010s,No,12743,Other,2020s,No,External
6739,12737,0.125,6739,Environmental/Animal Rights,2010s,No,12737,Other,2020s,No,External
6739,12739,0.125,6739,Environmental/Animal Rights,2010s,No,12739,Other,2020s,No,External
6739,7360,0.07692307692307693,6739,Environmental/Animal Rights,2010s,No,7360,Anarchist/Anti-Capitalist,1960s,No,External
6739,12738,0.125,6739,Environmental/Animal Rights,2010s,No,12738,Other,2020s,No,External
6739,12741,0.08333333333333333,6739,Environmental/Animal Rights,2010s,No,12741,Other,2020s,No,External
6739,12736,0.125,6739,Environmental/Animal Rights,2010s,No,12736,Other,2020s,No,External
6739,12740,0.125,6739,Environmental/Animal Rights,2010s,No,12740,Other,2020s,No,External
6739,4544,0.07692307692307693,6739,Environmental/Animal Rights,2010s,No,4544,Anarchist/Anti-Capitalist,1960s,Yes,External
6261,1048,0.3333333333333333,6261,Jihadist,2000s,Yes,1048,Jihadist,2000s,Yes,Internal
3241,3290,0.06666666666666667,3241,Anti-Abortion,1990s,Yes,3290,Anti-Abortion,1990s,Yes,Internal
3241,3312,0.03225806451612903,3241,Anti-Abortion,1990s,Yes,3312,Anti-Abortion,1990s,Yes,Internal
3241,3326,0.07142857142857142,3241,Anti-Abortion,1990s,Yes,3326,Anti-Abortion,1990s,No,Internal
3241,3186,0.07142857142857142,3241,Anti-Abortion,1990s,Yes,3186,Anti-Abortion,1990s,No,Internal
3241,2257,0.07142857142857142,3241,Anti-Abortion,1990s,Yes,2257,Anti-Abortion,1990s,No,Internal
3241,7944,0.14285714285714285,3241,Anti-Abortion,1990s,Yes,7944,Anti-Abortion,1980s,No,Internal
3241,3329,0.06666666666666667,3241,Anti-Abortion,1990s,Yes,3329,Anti-Abortion,1990s,Yes,Internal
8796,8797,1.0,8796,White Supremacist/Xenophobic,2010s,No,8797,White Supremacist/Xenophobic,2010s,No,Internal
5855,9443,0.125,5855,Jihadist,1990s,No,9443,Jihadist,1990s,No,Internal
5855,1009,0.125,5855,Jihadist,1990s,No,1009,Jihadist,1990s,No,Internal
5855,9445,0.125,5855,Jihadist,1990s,No,9445,Jihadist,1990s,No,Internal
5855,9444,0.125,5855,Jihadist,1990s,No,9444,Jihadist,1990s,No,Internal
5855,1007,0.5,5855,Jihadist,1990s,No,1007,Jihadist,1990s,No,Internal
5855,9446,0.125,5855,Jihadist,1990s,No,9446,Jihadist,1990s,No,Internal
5855,1075,0.125,5855,Jihadist,1990s,No,1075,Jihadist,1990s,No,Internal
5855,5187,0.14285714285714285,5855,Jihadist,1990s,No,5187,Jihadist,1990s,Yes,Internal
5855,4647,0.14285714285714285,5855,Jihadist,1990s,No,4647,Jihadist,1990s,No,Internal
5855,9440,0.125,5855,Jihadist,1990s,No,9440,Jihadist,1990s,No,Internal
5855,9441,0.125,5855,Jihadist,1990s,No,9441,Jihadist,1990s,No,Internal
5855,9006,0.125,5855,Jihadist,1990s,No,9006,Jihadist,1990s,Yes,Internal
5855,9442,0.125,5855,Jihadist,1990s,No,9442,Jihadist,1990s,No,Internal
7409,10576,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,10576,White Supremacist/Xenophobic,2010s,Yes,Internal
7409,10573,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,10573,White Supremacist/Xenophobic,2010s,Yes,Internal
7409,12151,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,12151,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,12045,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,12045,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,12149,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,12149,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,10247,0.14285714285714285,7409,White Supremacist/Xenophobic,2010s,Yes,10247,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,12046,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,12046,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,10574,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,10574,White Supremacist/Xenophobic,2010s,Yes,Internal
7409,12043,0.3333333333333333,7409,White Supremacist/Xenophobic,2010s,Yes,12043,White Supremacist/Xenophobic,2020s,Yes,Internal
7409,10575,0.2,7409,White Supremacist/Xenophobic,2010s,Yes,10575,White Supremacist/Xenophobic,2010s,Yes,Internal
10576,7408,0.09090909090909091,10576,White Supremacist/Xenophobic,2010s,Yes,7408,White Supremacist/Xenophobic,2010s,Yes,Internal
5143,5110,0.07142857142857142,5143,Other,1980s,Yes,5110,Black Nationalist/Separatist,1980s,Yes,External
5143,2295,0.07142857142857142,5143,Other,1980s,Yes,2295,Black Nationalist/Separatist,1970s,No,External
5143,7334,0.05,5143,Other,1980s,Yes,7334,Black Nationalist/Separatist,1970s,No,External
5143,7333,0.06666666666666667,5143,Other,1980s,Yes,7333,Black Nationalist/Separatist,1970s,No,External
5143,11009,0.09090909090909091,5143,Other,1980s,Yes,11009,Black Nationalist/Separatist,1970s,No,External
5143,7332,0.0625,5143,Other,1980s,Yes,7332,Black Nationalist/Separatist,1970s,No,External
5143,7331,0.06666666666666667,5143,Other,1980s,Yes,7331,Black Nationalist/Separatist,1970s,No,External
5143,11010,0.07142857142857142,5143,Other,1980s,Yes,11010,Black Nationalist/Separatist,1970s,No,External
5143,7335,0.07142857142857142,5143,Other,1980s,Yes,7335,Black Nationalist/Separatist,1970s,No,External
5143,5103,0.08333333333333333,5143,Other,1980s,Yes,5103,White Supremacist/Xenophobic,1980s,Yes,External
3331,3316,0.25,3331,Anti-Abortion,1990s,Yes,,,,,External
3331,3263,0.3333333333333333,3331,Anti-Abortion,1990s,Yes,3263,Anti-Abortion,1980s,Yes,Internal
6122,6594,0.25,6122,Jihadist,2010s,Yes,6594,Jihadist,2010s,Yes,Internal
6122,1122,0.2,6122,Jihadist,2010s,Yes,1122,Jihadist,2000s,Yes,Internal
6122,1125,0.2222222222222222,6122,Jihadist,2010s,Yes,1125,Jihadist,2000s,Yes,Internal
6122,1123,0.2,6122,Jihadist,2010s,Yes,1123,Jihadist,2000s,Yes,Internal
6122,1115,0.06666666666666667,6122,Jihadist,2010s,Yes,1115,Jihadist,2010s,Yes,Internal
6122,1119,0.2,6122,Jihadist,2010s,Yes,1119,Jihadist,2000s,Yes,Internal
6122,6115,0.07692307692307693,6122,Jihadist,2010s,Yes,6115,Jihadist,2000s,Yes,Internal
6122,1112,0.08333333333333333,6122,Jihadist,2010s,Yes,1112,Jihadist,2000s,Yes,Internal
6122,1116,0.09090909090909091,6122,Jihadist,2010s,Yes,1116,Jihadist,2000s,Yes,Internal
6122,1131,0.16666666666666666,6122,Jihadist,2010s,Yes,1131,Jihadist,2000s,Yes,Internal
6122,6128,0.25,6122,Jihadist,2010s,Yes,6128,Jihadist,2000s,Yes,Internal
6122,1126,0.2222222222222222,6122,Jihadist,2010s,Yes,1126,Jihadist,2000s,Yes,Internal
6122,1114,0.1,6122,Jihadist,2010s,Yes,1114,Jihadist,2000s,Yes,Internal
6122,1117,0.1,6122,Jihadist,2010s,Yes,1117,Jihadist,2000s,Yes,Internal
6122,1121,0.10526315789473684,6122,Jihadist,2010s,Yes,1121,Jihadist,2000s,Yes,Internal
6122,2237,0.1,6122,Jihadist,2010s,Yes,2237,Jihadist,2000s,Yes,Internal
6122,6121,0.16666666666666666,6122,Jihadist,2010s,Yes,6121,Jihadist,2000s,Yes,Internal
6122,1118,0.08333333333333333,6122,Jihadist,2010s,Yes,1118,Jihadist,2000s,Yes,Internal
6122,2067,0.16666666666666666,6122,Jihadist,2010s,Yes,2067,Jihadist,2010s,Yes,Internal
6122,2233,0.1111111111111111,6122,Jihadist,2010s,Yes,2233,Jihadist,2000s,Yes,Internal
6122,1135,0.25,6122,Jihadist,2010s,Yes,1135,Jihadist,2010s,Yes,Internal
